Class,Class_fullname,Approach,Response_model_form,Response_model_index,Response_model_goal,Response_model_detail,Approach2,Approach3,Stringency,Indicator_Type,Indicator,Threshold_value,Flag
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,High,Biointegrity,ASCI_D,1.13,Biointegrity goal is higher than reference.
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Intermediate,Biointegrity,ASCI_D,1.02,Biointegrity goal is higher than reference.
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Low,Biointegrity,ASCI_D,0.92,Biointegrity goal is higher than reference.
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,High,Biointegrity,ASCI_D,1.05,Biointegrity goal is higher than reference.
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Intermediate,Biointegrity,ASCI_D,0.88,Biointegrity goal is higher than reference.
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Low,Biointegrity,ASCI_D,0.74,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,High,Biointegrity,ASCI_D,0.93,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Intermediate,Biointegrity,ASCI_D,0.77,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Low,Biointegrity,ASCI_D,0.64,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,High,Biointegrity,ASCI_D,1.01,Biointegrity goal is higher than reference.
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Intermediate,Biointegrity,ASCI_D,0.85,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Low,Biointegrity,ASCI_D,0.68,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,High,Biointegrity,ASCI_D,1.01,Biointegrity goal is higher than reference.
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Intermediate,Biointegrity,ASCI_D,0.77,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Low,Biointegrity,ASCI_D,0.68,
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,High,Biointegrity,ASCI_D,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Intermediate,Biointegrity,ASCI_D,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Low,Biointegrity,ASCI_D,NA,Insufficient data
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,High,Biointegrity,ASCI_H,0.94,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Intermediate,Biointegrity,ASCI_H,0.86,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Low,Biointegrity,ASCI_H,0.75,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,High,Biointegrity,ASCI_H,0.95,Biointegrity goal is higher than reference.
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Intermediate,Biointegrity,ASCI_H,0.89,Biointegrity goal is higher than reference.
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Low,Biointegrity,ASCI_H,0.75,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,High,Biointegrity,ASCI_H,0.92,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Intermediate,Biointegrity,ASCI_H,0.85,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Low,Biointegrity,ASCI_H,0.59,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,High,Biointegrity,ASCI_H,1.05,Biointegrity goal is higher than reference.
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Intermediate,Biointegrity,ASCI_H,0.94,Biointegrity goal is higher than reference.
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Low,Biointegrity,ASCI_H,0.8,Biointegrity goal is higher than reference.
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,High,Biointegrity,ASCI_H,1.02,Biointegrity goal is higher than reference.
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Intermediate,Biointegrity,ASCI_H,0.87,Biointegrity goal is higher than reference.
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Low,Biointegrity,ASCI_H,0.74,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,High,Biointegrity,ASCI_H,0.88,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Intermediate,Biointegrity,ASCI_H,0.76,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Low,Biointegrity,ASCI_H,0.6,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,High,Biointegrity,ASCI_H,0.97,Biointegrity goal is higher than reference.
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Intermediate,Biointegrity,ASCI_H,0.86,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Low,Biointegrity,ASCI_H,0.67,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,High,Biointegrity,ASCI_H,0.94,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Intermediate,Biointegrity,ASCI_H,0.79,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Low,Biointegrity,ASCI_H,0.64,
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,High,Biointegrity,ASCI_H,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Intermediate,Biointegrity,ASCI_H,NA,Insufficient data
CC,Constructed channel,Best observed,,,,,Best observed,Best observed CC,Low,Biointegrity,ASCI_H,NA,Insufficient data
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,High,Biostimulatory,TN,0,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Intermediate,Biostimulatory,TN,0.036,
Wadeable streams,Wadeable streams,Reference,,,,,Reference,Reference Wadeable streams,Low,Biostimulatory,TN,0.098,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.94,"Logistic model, 80% probability of attanining ASCI_D score above 0.94.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,High,Biostimulatory,TN,0.141,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.86,"Logistic model, 80% probability of attanining ASCI_D score above 0.86.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,Intermediate,Biostimulatory,TN,0.330,
Wadeable streams,Wadeable streams,Response,LR,ASCI_D,0.75,"Logistic model, 80% probability of attanining ASCI_D score above 0.75.",Response LR ASCI_D,Response (LR) ASCI_D Wadeable streams,Low,Biostimulatory,TN,1.081,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.94,"Logistic model, 80% probability of attanining ASCI_H score above 0.94.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,High,Biostimulatory,TN,0.132,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.86,"Logistic model, 80% probability of attanining ASCI_H score above 0.86.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,Intermediate,Biostimulatory,TN,0.240,
Wadeable streams,Wadeable streams,Response,LR,ASCI_H,0.75,"Logistic model, 80% probability of attanining ASCI_H score above 0.75.",Response LR ASCI_H,Response (LR) ASCI_H Wadeable streams,Low,Biostimulatory,TN,1.258,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.92,"Logistic model, 80% probability of attanining CSCI score above 0.92.",Response LR CSCI,Response (LR) CSCI Wadeable streams,High,Biostimulatory,TN,0.682,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.79,"Logistic model, 80% probability of attanining CSCI score above 0.79.",Response LR CSCI,Response (LR) CSCI Wadeable streams,Intermediate,Biostimulatory,TN,1.189,
Wadeable streams,Wadeable streams,Response,LR,CSCI,0.63,"Logistic model, 80% probability of attanining CSCI score above 0.63.",Response LR CSCI,Response (LR) CSCI Wadeable streams,Low,Biostimulatory,TN,NA,No threshold identified
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.94,"Additive model, 50% probability of attanining ASCI_D score above 0.94.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,High,Biostimulatory,TN,NA,No threshold identified
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.86,"Additive model, 50% probability of attanining ASCI_D score above 0.86.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,Intermediate,Biostimulatory,TN,0.348,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_D,0.75,"Additive model, 50% probability of attanining ASCI_D score above 0.75.",Response SCAM ASCI_D,Response (SCAM) ASCI_D Wadeable streams,Low,Biostimulatory,TN,0.991,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.94,"Additive model, 50% probability of attanining ASCI_H score above 0.94.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,High,Biostimulatory,TN,0.009,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.86,"Additive model, 50% probability of attanining ASCI_H score above 0.86.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,Intermediate,Biostimulatory,TN,0.450,
Wadeable streams,Wadeable streams,Response,SCAM,ASCI_H,0.75,"Additive model, 50% probability of attanining ASCI_H score above 0.75.",Response SCAM ASCI_H,Response (SCAM) ASCI_H Wadeable streams,Low,Biostimulatory,TN,1.099,
Wadeable streams,Wadeable streams,Response,SCAM,CSCI,0.92,"Additive model, 50% probability of attanining CSCI score above 0.92.",Response SCAM CSCI,Response (SCAM) CSCI Wadeable streams,High,Biostimulatory,TN,0.165,
Wadeable streams,Wadeable streams,Response,SCAM,CSCI,0.79,"Additive model, 50% probability of attanining CSCI score above 0.79.",Response SCAM CSCI,Response (SCAM) CSCI Wadeable streams,Intermediate,Biostimulatory,TN,1.021,
Wadeable streams,Wadeable streams,Response,SCAM,CSCI,0.63,"Additive model, 50% probability of attanining CSCI score above 0.63.",Response SCAM CSCI,Response (SCAM) CSCI Wadeable streams,Low,Biostimulatory,TN,2.601,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,High,Biostimulatory,TN,0.005,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Intermediate,Biostimulatory,TN,0.050,
RFI-N,Intermittent northern California,Reference,,,,,Reference,Reference RFI-N,Low,Biostimulatory,TN,0.144,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,High,Biostimulatory,TN,0.058,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Intermediate,Biostimulatory,TN,0.087,
RFI-S,Intermittent southern California,Reference,,,,,Reference,Reference RFI-S,Low,Biostimulatory,TN,0.144,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,High,Biostimulatory,TN,0.037,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Intermediate,Biostimulatory,TN,0.143,
CVF,Central Valley Floor,Best observed,,,,,Best observed,Best observed CVF,Low,Biostimulatory,TN,0.320,
CVF,Central Valley Floor,Response,SCAM,ASCI_D,1.13,"Additive model, 50% probability of attanining ASCI_D score above 1.13.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CVF,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_D,1.02,"Additive model, 50% probability of attanining ASCI_D score above 1.02.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CVF,Intermediate,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_D,0.92,"Additive model, 50% probability of attanining ASCI_D score above 0.92.",Response SCAM ASCI_D,Response (SCAM) ASCI_D CVF,Low,Biostimulatory,TN,0.051,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_H,1.05,"Additive model, 50% probability of attanining ASCI_H score above 1.05.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CVF,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_H,0.94,"Additive model, 50% probability of attanining ASCI_H score above 0.94.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CVF,Intermediate,Biostimulatory,TN,0.057,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,ASCI_H,0.8,"Additive model, 50% probability of attanining ASCI_H score above 0.8.",Response SCAM ASCI_H,Response (SCAM) ASCI_H CVF,Low,Biostimulatory,TN,0.787,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
CVF,Central Valley Floor,Response,SCAM,CSCI,0.85,"Additive model, 50% probability of attanining CSCI score above 0.85.",Response SCAM CSCI,Response (SCAM) CSCI CVF,High,Biostimulatory,TN,0.598,
CVF,Central Valley Floor,Response,SCAM,CSCI,0.67,"Additive model, 50% probability of attanining CSCI score above 0.67.",Response SCAM CSCI,Response (SCAM) CSCI CVF,Intermediate,Biostimulatory,TN,2.108,
CVF,Central Valley Floor,Response,SCAM,CSCI,0.52,"Additive model, 50% probability of attanining CSCI score above 0.52.",Response SCAM CSCI,Response (SCAM) CSCI CVF,Low,Biostimulatory,TN,NA,No threshold identified
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,High,Biostimulatory,TN,0,
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Intermediate,Biostimulatory,TN,0.326,
HB,Hard bottom,Best observed,,,,,Best observed,Best observed HB,Low,Biostimulatory,TN,0.788,
HB,Hard bottom,Response,SCAM,ASCI_D,1.05,"Additive model, 50% probability of attanining ASCI_D score above 1.05.",Response SCAM ASCI_D,Response (SCAM) ASCI_D HB,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_D,0.88,"Additive model, 50% probability of attanining ASCI_D score above 0.88.",Response SCAM ASCI_D,Response (SCAM) ASCI_D HB,Intermediate,Biostimulatory,TN,0.246,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_D,0.74,"Additive model, 50% probability of attanining ASCI_D score above 0.74.",Response SCAM ASCI_D,Response (SCAM) ASCI_D HB,Low,Biostimulatory,TN,1.057,
HB,Hard bottom,Response,SCAM,ASCI_H,1.02,"Additive model, 50% probability of attanining ASCI_H score above 1.02.",Response SCAM ASCI_H,Response (SCAM) ASCI_H HB,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_H,0.87,"Additive model, 50% probability of attanining ASCI_H score above 0.87.",Response SCAM ASCI_H,Response (SCAM) ASCI_H HB,Intermediate,Biostimulatory,TN,0.399,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
HB,Hard bottom,Response,SCAM,ASCI_H,0.74,"Additive model, 50% probability of attanining ASCI_H score above 0.74.",Response SCAM ASCI_H,Response (SCAM) ASCI_H HB,Low,Biostimulatory,TN,1.165,
HB,Hard bottom,Response,SCAM,CSCI,0.74,"Additive model, 50% probability of attanining CSCI score above 0.74.",Response SCAM CSCI,Response (SCAM) CSCI HB,High,Biostimulatory,TN,1.423,
HB,Hard bottom,Response,SCAM,CSCI,0.67,"Additive model, 50% probability of attanining CSCI score above 0.67.",Response SCAM CSCI,Response (SCAM) CSCI HB,Intermediate,Biostimulatory,TN,2.108,
HB,Hard bottom,Response,SCAM,CSCI,0.55,"Additive model, 50% probability of attanining CSCI score above 0.55.",Response SCAM CSCI,Response (SCAM) CSCI HB,Low,Biostimulatory,TN,NA,No threshold identified
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,High,Biostimulatory,TN,0.056,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Intermediate,Biostimulatory,TN,0.193,
SB2,"Soft bottom engineered channel, two hardened sides",Best observed,,,,,Best observed,Best observed SB2,Low,Biostimulatory,TN,0.816,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_D,0.93,"Additive model, 50% probability of attanining ASCI_D score above 0.93.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB2,High,Biostimulatory,TN,0.003,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_D,0.77,"Additive model, 50% probability of attanining ASCI_D score above 0.77.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB2,Intermediate,Biostimulatory,TN,0.862,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_D,0.64,"Additive model, 50% probability of attanining ASCI_D score above 0.64.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB2,Low,Biostimulatory,TN,1.835,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_H,0.88,"Additive model, 50% probability of attanining ASCI_H score above 0.88.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB2,High,Biostimulatory,TN,0.348,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_H,0.76,"Additive model, 50% probability of attanining ASCI_H score above 0.76.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB2,Intermediate,Biostimulatory,TN,1.033,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,ASCI_H,0.6,"Additive model, 50% probability of attanining ASCI_H score above 0.6.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB2,Low,Biostimulatory,TN,2.372,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,CSCI,0.96,"Additive model, 50% probability of attanining CSCI score above 0.96.",Response SCAM CSCI,Response (SCAM) CSCI SB2,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,CSCI,0.75,"Additive model, 50% probability of attanining CSCI score above 0.75.",Response SCAM CSCI,Response (SCAM) CSCI SB2,Intermediate,Biostimulatory,TN,1.339,
SB2,"Soft bottom engineered channel, two hardened sides",Response,SCAM,CSCI,0.64,"Additive model, 50% probability of attanining CSCI score above 0.64.",Response SCAM CSCI,Response (SCAM) CSCI SB2,Low,Biostimulatory,TN,2.468,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,High,Biostimulatory,TN,0,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Intermediate,Biostimulatory,TN,0.256,
SB1,"Soft bottom engineered channel, one hardened side",Best observed,,,,,Best observed,Best observed SB1,Low,Biostimulatory,TN,0.380,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_D,1.01,"Additive model, 50% probability of attanining ASCI_D score above 1.01.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB1,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_D,0.85,"Additive model, 50% probability of attanining ASCI_D score above 0.85.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB1,Intermediate,Biostimulatory,TN,0.402,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_D,0.68,"Additive model, 50% probability of attanining ASCI_D score above 0.68.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB1,Low,Biostimulatory,TN,1.492,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_H,0.97,"Additive model, 50% probability of attanining ASCI_H score above 0.97.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB1,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_H,0.86,"Additive model, 50% probability of attanining ASCI_H score above 0.86.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB1,Intermediate,Biostimulatory,TN,0.450,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,ASCI_H,0.67,"Additive model, 50% probability of attanining ASCI_H score above 0.67.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB1,Low,Biostimulatory,TN,1.694,
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,CSCI,1.1,"Additive model, 50% probability of attanining CSCI score above 1.1.",Response SCAM CSCI,Response (SCAM) CSCI SB1,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,CSCI,1,"Additive model, 50% probability of attanining CSCI score above 1.",Response SCAM CSCI,Response (SCAM) CSCI SB1,Intermediate,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB1,"Soft bottom engineered channel, one hardened side",Response,SCAM,CSCI,0.81,"Additive model, 50% probability of attanining CSCI score above 0.81.",Response SCAM CSCI,Response (SCAM) CSCI SB1,Low,Biostimulatory,TN,0.874,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,High,Biostimulatory,TN,0,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Intermediate,Biostimulatory,TN,0.490,
SB0,"Soft bottom engineered channel, no hardened sides",Best observed,,,,,Best observed,Best observed SB0,Low,Biostimulatory,TN,0.769,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_D,1.01,"Additive model, 50% probability of attanining ASCI_D score above 1.01.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB0,High,Biostimulatory,TN,NA,Biostimulatory threshsold is set for a biointegrity goal that is above reference.
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_D,0.77,"Additive model, 50% probability of attanining ASCI_D score above 0.77.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB0,Intermediate,Biostimulatory,TN,0.862,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_D,0.68,"Additive model, 50% probability of attanining ASCI_D score above 0.68.",Response SCAM ASCI_D,Response (SCAM) ASCI_D SB0,Low,Biostimulatory,TN,1.492,
SB0,"Soft bottom engineered channel, no hardened sides",Response,SCAM,ASCI_H,0.94,"Additive model, 50% probability of attanining ASCI_H score above 0.94.",Response SCAM ASCI_H,Response (SCAM) ASCI_H SB0,High,Biostimulatory,TN,0.057,
